Time,X_o,Y_o,Z
0,-462497.173301423,4716466.1117199,1.23055488198468
9.84666666666667,-462455.090757424,4716511.22671226,1.21486967106536
19.6933333333333,-462413.008985889,4716556.34117927,1.24340591251095
29.54,-462370.927986838,4716601.45512093,1.21849375067281
39.3866666666667,-462328.847760285,4716646.56853723,1.21699717929392
49.2333333333333,-462286.768306248,4716691.68142817,1.22282180172495
59.08,-462244.689624745,4716736.79379375,1.22151946018198
68.9266666666667,-462202.611715792,4716781.90563396,1.22145814297208
78.7733333333333,-462160.534579406,4716827.01694879,1.21753664260168
88.62,-462118.458215603,4716872.12773824,1.21043912397852
98.4666666666667,-462076.382624402,4716917.2380023,1.22826286055717
108.313333333333,-462034.307805818,4716962.34774097,1.22635780849637
118.16,-461992.23375987,4717007.45695424,1.21811003265845
128.006666666667,-461950.160486573,4717052.56564211,1.23134515691113
137.853333333333,-461908.087985945,4717097.67380457,1.24778681434842
147.7,-461866.016258002,4717142.78144162,1.22055042601958
157.546666666667,-461823.945302762,4717187.88855325,1.20929326618703
167.393333333333,-461781.875120242,4717232.99513946,1.22392446441667
177.24,-461739.805710458,4717278.10120024,1.23569351398336
187.086666666667,-461697.737073427,4717323.20673559,1.23619912193178
196.933333333333,-461655.669209167,4717368.3117455,1.22373433550446
206.78,-461613.602117695,4717413.41622997,1.21779384180124
216.626666666667,-461571.535799026,4717458.52018899,1.19888101213411
226.473333333333,-461529.470253179,4717503.62362255,1.23888020318072
236.32,-461487.40548017,4717548.72653066,1.21955003296696
246.166666666667,-461445.341480016,4717593.82891329,1.21395675714156
256.013333333333,-461403.278252734,4717638.93077047,1.21956730610693
265.86,-461361.215798341,4717684.03210216,1.22967613298901
275.706666666667,-461319.154116854,4717729.13290838,1.2162755323168
285.553333333333,-461277.09320829,4717774.23318911,1.2201737039457
295.4,-461235.033072666,4717819.33294435,1.2285835341862
305.246666666667,-461192.973709998,4717864.4321741,1.20534277713874
315.093333333333,-461150.915120305,4717909.53087834,1.21008477345
324.94,-461108.857303602,4717954.62905708,1.2147274353136
334.786666666667,-461066.800259906,4717999.72671031,1.22235606923521
344.633333333333,-461024.743989235,4718044.82383802,1.21149352043668
354.48,-460982.688491606,4718089.92044021,1.20128123175424
364.326666666667,-460940.633767035,4718135.01651688,1.2258883207481
374.173333333333,-460898.579815539,4718180.11206801,1.20611601130519
384.02,-460856.526637135,4718225.20709361,1.20810574086448
393.866666666667,-460814.474231841,4718270.30159366,1.2245831705561
403.713333333333,-460772.422599673,4718315.39556817,1.22188266189603
413.56,-460730.371740648,4718360.48901713,1.21414131208191
423.406666666667,-460688.321654783,4718405.58194053,1.21129481955744
433.253333333333,-460646.272342095,4718450.67433836,1.19383633054636
443.1,-460604.223802601,4718495.76621063,1.20289009289929
452.946666666667,-460562.176036318,4718540.85755733,1.20898646098565
462.793333333333,-460520.129043263,4718585.94837844,1.21020345880212
472.64,-460478.082823452,4718631.03867398,1.21227204667604
482.486666666667,-460436.037376904,4718676.12844392,1.20866008555408
492.333333333333,-460393.992703633,4718721.21768827,1.20695983627719
502.18,-460351.948803658,4718766.30640703,1.20863479209387
512.026666666667,-460309.905676996,4718811.39460018,1.19857142899705
521.873333333333,-460267.863323663,4718856.48226772,1.20625073065914
531.72,-460225.821743677,4718901.56940964,1.19759187464529
541.566666666667,-460183.780937054,4718946.65602595,1.2113661024065
551.413333333333,-460141.740903811,4718991.74211663,1.20834261299417
561.26,-460099.701643965,4719036.82768168,1.193118923782
571.106666666667,-460057.663157534,4719081.9127211,1.20035559479107
580.953333333333,-460015.625444533,4719126.99723487,1.21635179333111
590.8,-459973.58850498,4719172.08122301,1.19538661917082
600.646666666667,-459931.552338893,4719217.16468549,1.22224549155411
610.493333333333,-459889.516946287,4719262.24762231,1.21077486549261
620.34,-459847.48232718,4719307.33003348,1.19084307290735
630.186666666667,-459805.448481588,4719352.41191897,1.21981394587881
