Time,X_o,Y_o,Z
126,630,1549.08235613801,0.768521148866841
128,640,1572.83280308059,0.787591868429299
130,650,1596.543929285,0.775438991009724
132,660,1620.21514197434,0.767289624663846
134,670,1643.84584936952,0.785200198434649
136,680,1667.43546070407,0.766836160797476
138,690,1690.98338623896,0.770409331355982
140,700,1714.48903727726,0.763626546356443
142,710,1737.95182617892,0.767974319284696
144,720,1761.37116637545,0.756331987008009
146,730,1784.74647238456,0.779436551042227
148,740,1808.07715982481,0.774616069571051
150,750,1831.36264543024,0.773352887446635
152,760,1854.60234706491,0.771746719573814
154,770,1877.79568373751,0.770980697814549
156,780,1900.94207561581,0.769817868873095
158,790,1924.04094404123,0.757744202139871
160,800,1947.09171154325,0.755289681003031
162,810,1970.0938018539,0.74125671964565
164,820,1993.04663992211,0.769417728569181
166,830,2015.94965192813,0.761444071423583
168,840,2038.80226529785,0.7583175142185
170,850,2061.60390871712,0.768507596986084
172,860,2084.35401214605,0.795729125886217
174,870,2107.05200683324,0.745243572862452
176,880,2129.69732533,0.74384627703849
178,890,2152.28940150454,0.755148128633076
180,900,2174.82767055615,0.758660484837561
182,910,2197.31156902927,0.747261782389499
184,920,2219.7405348276,0.741282296173202
186,930,2242.11400722817,0.745630321144225
188,940,2264.43142689534,0.772313379826793
190,950,2286.69223589478,0.748470738353056
192,960,2308.89587770741,0.752850663436363
194,970,2331.04179724336,0.746688215438711
196,980,2353.12944085579,0.772482527372103
198,990,2375.15825635475,0.748779685919997
200,1000,2397.12769302102,0.75457834192274
202,1010,2419.0372016198,0.735945154526869
204,1020,2440.88623441454,0.762902249549545
206,1030,2462.67424518054,0.753669053579686
208,1040,2484.40068921868,0.758022309426948
210,1050,2506.06502336899,0.786750816918164
212,1060,2527.66670602423,0.748371186735635
214,1070,2549.20519714348,0.774322363426702
216,1080,2570.67995826557,0.756418195413705
218,1090,2592.09045252259,0.774089959319314
220,1100,2613.4361446533,0.749629163947985
222,1110,2634.71650101651,0.780904546597904
224,1120,2655.93098960442,0.741433065389313
226,1130,2677.07908005592,0.767677846368163
228,1140,2698.16024366985,0.763616675817192
230,1150,2719.17395341821,0.751258396678241
232,1160,2740.11968395937,0.760988399794235
234,1170,2760.99691165114,0.776612975016677
236,1180,2781.80511456392,0.755685464821511
238,1190,2802.54377249372,0.766800900041319
240,1200,2823.21236697518,0.763173294283532
242,1210,2843.8103812945,0.742230515721438
244,1220,2864.33730050241,0.743857222929732
246,1230,2884.79261142698,0.759678891245406
248,1240,2905.17580268653,0.741118875227307
250,1250,2925.48636470231,0.748317372587148
252,1260,2945.72378971135,0.753902091824528
254,1270,2965.88757177906,0.742285579150072
256,1280,2985.97720681196,0.764897884522068
258,1290,3005.99219257021,0.756024368888267
260,1300,3025.9320286802,0.747607241413984
262,1310,3045.79621664707,0.753465177553517
264,1320,3065.58425986717,0.747602548756216
266,1330,3085.29566364043,0.753503298279879
268,1340,3104.9299351828,0.769750865896015
270,1350,3124.4865836385,0.730639769291349
272,1360,3143.96512009234,0.734210027773857
274,1370,3163.36505758193,0.750282207273959
276,1380,3182.68591110984,0.75807797170972
278,1390,3201.92719765574,0.750215243280715
280,1400,3221.08843618846,0.756868997147201
282,1410,3240.16914767804,0.749509544552786
284,1420,3259.16885510768,0.740188140713164
286,1430,3278.0870834857,0.749190271143246
288,1440,3296.92335985737,0.760277219674902
290,1450,3315.67721331675,0.75813411333599
292,1460,3334.34817501849,0.752717687843558
294,1470,3352.93577818952,0.741944889376813
296,1480,3371.43955814073,0.753450058704747
298,1490,3389.85905227857,0.748170084865097
300,1500,3408.19380011667,0.742753068157459
