Time,X_o,Y_o,Z
0,0,0,0.79214328302326
2,10,24.9998958334635,0.771618796799925
4,20,49.9991666708333,0.789178409089268
6,30,74.9971875316404,0.773220921397931
8,40,99.9933334666654,0.793662246886813
10,50,124.986979573562,0.789936177915958
12,60,149.977501012478,0.774166707609081
14,70,174.964273021681,0.772057589837326
16,80,199.946670933171,0.775477026045758
18,90,224.924070188301,0.783925767690639
20,100,249.895846353392,0.79510332798369
22,110,274.861375135339,0.803269807086905
24,120,299.820032397223,0.778348547287952
26,130,324.771194173913,0.772338419102764
28,140,349.714236687664,0.775592731259204
30,150,374.648536363712,0.78499791063431
32,160,399.573469845863,0.77996852582856
34,170,424.48841401208,0.757561541934433
36,180,449.392745990055,0.781549914800841
38,190,474.285843172786,0.781345830780926
40,200,499.167083234141,0.793104527624414
42,210,524.035844144412,0.778735022094457
44,220,548.891504185874,0.808040467399432
46,230,573.733441968319,0.784810143048801
48,240,598.561036444597,0.779447184428867
50,250,623.373666926138,0.779235795827172
52,260,648.170713098474,0.78159139069353
54,270,672.951555036742,0.78548357983171
56,280,697.715573221182,0.768771825965383
58,290,722.462148552632,0.776069896777411
60,300,747.190662367996,0.777709728232603
62,310,771.900496455717,0.804113173446556
64,320,796.59103307123,0.759715287909709
66,330,821.261654952405,0.777653167287811
68,340,845.91174533498,0.777700443518507
70,350,870.54068796798,0.760867165740946
72,360,895.147867129121,0.775677036812522
74,370,919.732667640206,0.761757939140919
76,380,944.294474882503,0.769647291427966
78,390,968.83267481211,0.783838600311237
80,400,993.346653975306,0.768937736852219
82,410,1017.83579952389,0.775103157500571
84,420,1042.2994992305,0.787015761531315
86,430,1066.73714150391,0.772667621429099
88,440,1091.14811540435,0.779304816155776
90,450,1115.53181065873,0.77722919303542
92,460,1139.88761767594,0.771816306127995
94,470,1164.21492756208,0.777650296891751
96,480,1188.51313213567,0.77635868194843
98,490,1212.78162394286,0.768296735519931
100,500,1237.01979627261,0.770243042002413
102,510,1261.22704317189,0.757233341081561
104,520,1285.40275946078,0.775258702352993
106,530,1309.54634074762,0.74556785588412
108,540,1333.65718344416,0.774434659680956
110,550,1357.73468478056,0.762130462916306
112,560,1381.77824282057,0.769889718709462
114,570,1405.78725647647,0.768531341098803
116,580,1429.76112552418,0.78031876024544
118,590,1453.69925061821,0.770628473098877
120,600,1477.6010333067,0.773375166195001
122,610,1501.46587604631,0.767284646309939
124,620,1525.29318221722,0.763383907603003
126,630,1549.08235613801,0.769805953575406
128,640,1572.83280308059,0.785026328275617
130,650,1596.543929285,0.78480121590807
132,660,1620.21514197434,0.768838246342372
134,670,1643.84584936952,0.767514745223917
136,680,1667.43546070407,0.768589402736305
138,690,1690.98338623896,0.748309083263545
140,700,1714.48903727726,0.753420786707736
142,710,1737.95182617892,0.768015501175257
144,720,1761.37116637545,0.766627958810515
146,730,1784.74647238456,0.771663043333202
148,740,1808.07715982481,0.751974855242032
150,750,1831.36264543024,0.747077962418044
152,760,1854.60234706491,0.769616004819458
154,770,1877.79568373751,0.758868042816395
156,780,1900.94207561581,0.761850749934024
158,790,1924.04094404123,0.748543551922779
160,800,1947.09171154325,0.760877924844201
162,810,1970.0938018539,0.754188118617702
164,820,1993.04663992211,0.782672977051409
166,830,2015.94965192813,0.769169404681563
168,840,2038.80226529785,0.761732722977106
170,850,2061.60390871712,0.747340308674608
172,860,2084.35401214605,0.769687976302742
174,870,2107.05200683324,0.771444006181986
176,880,2129.69732533,0.780976844605298
178,890,2152.28940150454,0.77730219981532
180,900,2174.82767055615,0.744101807735719
182,910,2197.31156902927,0.753022570861673
184,920,2219.7405348276,0.771639755218532
186,930,2242.11400722817,0.758831160803013
188,940,2264.43142689534,0.775367459438578
190,950,2286.69223589478,0.752049203480575
192,960,2308.89587770741,0.755542759529267
194,970,2331.04179724336,0.763225480223896
196,980,2353.12944085579,0.761681842396272
198,990,2375.15825635475,0.761066571647028
200,1000,2397.12769302102,0.75100718656609
202,1010,2419.0372016198,0.74237443447336
204,1020,2440.88623441454,0.752745874645471
206,1030,2462.67424518054,0.772128058740497
208,1040,2484.40068921868,0.761187779694388
210,1050,2506.06502336899,0.760701029279326
212,1060,2527.66670602423,0.746674611586215
214,1070,2549.20519714348,0.757380470899954
216,1080,2570.67995826557,0.749320776075803
218,1090,2592.09045252259,0.743311434513342
220,1100,2613.4361446533,0.764529538500718
222,1110,2634.71650101651,0.769121411741161
224,1120,2655.93098960442,0.742267008933739
226,1130,2677.07908005592,0.758208199065579
228,1140,2698.16024366985,0.737068069261263
230,1150,2719.17395341821,0.76242675642888
232,1160,2740.11968395937,0.755645636727327
234,1170,2760.99691165114,0.756073187071087
236,1180,2781.80511456392,0.758271972840215
238,1190,2802.54377249372,0.759047604760653
240,1200,2823.21236697518,0.762826429288215
242,1210,2843.8103812945,0.757726274264802
244,1220,2864.33730050241,0.731348988373859
246,1230,2884.79261142698,0.747414816919259
248,1240,2905.17580268653,0.746102068123774
250,1250,2925.48636470231,0.753804656005134
252,1260,2945.72378971135,0.766840623454101
254,1270,2965.88757177906,0.754099663331657
256,1280,2985.97720681196,0.757889684638263
258,1290,3005.99219257021,0.734535456576456
260,1300,3025.9320286802,0.760257574247791
262,1310,3045.79621664707,0.740422652997322
264,1320,3065.58425986717,0.758648991154492
266,1330,3085.29566364043,0.761383676101776
268,1340,3104.9299351828,0.750583729460158
270,1350,3124.4865836385,0.772496006038775
272,1360,3143.96512009234,0.751611991962427
274,1370,3163.36505758193,0.742947703303828
276,1380,3182.68591110984,0.744683647789229
278,1390,3201.92719765574,0.734662400201194
280,1400,3221.08843618846,0.745639211168818
282,1410,3240.16914767804,0.761428484375679
284,1420,3259.16885510768,0.738769512356742
286,1430,3278.0870834857,0.754737414179029
288,1440,3296.92335985737,0.734490832000646
290,1450,3315.67721331675,0.744794763307721
292,1460,3334.34817501849,0.744023721287006
294,1470,3352.93577818952,0.752298297496974
296,1480,3371.43955814073,0.749902060029044
298,1490,3389.85905227857,0.748966717865617
300,1500,3408.19380011667,0.727297303573069
302,1510,3426.44334328727,0.763530321318922
304,1520,3444.60722555276,0.733968772390571
306,1530,3462.68499281701,0.75423376403051
308,1540,3480.67619313678,0.766272632368967
310,1550,3498.58037673302,0.738095631088256
312,1560,3516.39709600205,0.754184891059476
314,1570,3534.12590552683,0.756206394433694
316,1580,3551.76636208804,0.757741777130496
318,1590,3569.31802467518,0.75289564351585
320,1600,3586.78045449761,0.755516280690488
322,1610,3604.15321499549,0.760095541725767
324,1620,3621.43587185071,0.743652826048249
326,1630,3638.62799299775,0.727598922034961
328,1640,3655.72914863448,0.74109142905888
330,1650,3672.73891123289,0.746753890548657
332,1660,3689.65685554981,0.759711183083754
334,1670,3706.48255863752,0.746727780627472
336,1680,3723.2155998543,0.764196029068921
338,1690,3739.855560875,0.729628216053111
340,1700,3756.40202570146,0.751092796282737
342,1710,3772.85458067293,0.757018194486388
344,1720,3789.21281447638,0.764637989846256
346,1730,3805.47631815683,0.729706102495768
348,1740,3821.64468512753,0.738358179535122
