Time,X_o,Y_o,Z
280,1400,3221.08843618846,0.749882061137678
282,1410,3240.16914767804,0.764015781944343
284,1420,3259.16885510768,0.745564647798712
286,1430,3278.0870834857,0.749317446591966
288,1440,3296.92335985737,0.750893681525899
290,1450,3315.67721331675,0.747304408832061
292,1460,3334.34817501849,0.746975705394331
294,1470,3352.93577818952,0.74085908618558
296,1480,3371.43955814073,0.739379609829705
298,1490,3389.85905227857,0.743046004099536
300,1500,3408.19380011667,0.746659547297973
302,1510,3426.44334328727,0.751385734012811
304,1520,3444.60722555276,0.732942554548934
306,1530,3462.68499281701,0.762456788447188
308,1540,3480.67619313678,0.743875923560997
310,1550,3498.58037673302,0.744334301578874
312,1560,3516.39709600205,0.758349739846038
314,1570,3534.12590552683,0.742469283248792
316,1580,3551.76636208804,0.75125828654544
318,1590,3569.31802467518,0.739116063691806
320,1600,3586.78045449761,0.729177775941547
322,1610,3604.15321499549,0.746381683613872
324,1620,3621.43587185071,0.741394473919794
326,1630,3638.62799299775,0.753929446919362
328,1640,3655.72914863448,0.729865828962632
330,1650,3672.73891123289,0.753461350014856
332,1660,3689.65685554981,0.738950251584197
334,1670,3706.48255863752,0.750522134999487
336,1680,3723.2155998543,0.749741798848983
338,1690,3739.855560875,0.745868334000425
340,1700,3756.40202570146,0.743649765731307
342,1710,3772.85458067293,0.735037537442735
344,1720,3789.21281447638,0.750003264462004
346,1730,3805.47631815683,0.745308540949372
348,1740,3821.64468512753,0.756519794527867
350,1750,3837.71751118014,0.73811293109628
352,1760,3853.69439449485,0.752424254008507
354,1770,3869.57493565041,0.764018891641528
356,1780,3885.35873763412,0.737829967508038
358,1790,3901.04540585175,0.737079211123375
360,1800,3916.63454813742,0.740702660783304
362,1810,3932.12577476337,0.740388105486971
364,1820,3947.51869844975,0.734429640713409
366,1830,3962.81293437427,0.746409115477153
368,1840,3978.00810018183,0.739955194359858
370,1850,3993.10381599407,0.743649799617401
372,1860,4008.09970441889,0.73695018830536
374,1870,4022.99539055985,0.767155026477085
376,1880,4037.79050202557,0.748191052621494
378,1890,4052.48466893905,0.746444748541322
380,1900,4067.07752394687,0.745440089450363
382,1910,4081.56870222842,0.733116718709712
384,1920,4095.95784150499,0.74525010116073
386,1930,4110.24458204886,0.727703358958776
388,1940,4124.42856669225,0.759131039857332
390,1950,4138.50944083629,0.747322053955639
392,1960,4152.48685245985,0.718000620517189
394,1970,4166.36045212838,0.742959122743092
396,1980,4180.1298930026,0.735556698572467
398,1990,4193.79483084722,0.743255006171292
400,2000,4207.35492403948,0.7390110712752
402,2010,4220.80983357778,0.74531592947642
404,2020,4234.15922309008,0.73818779150484
406,2030,4247.40275884232,0.729524104897592
408,2040,4260.54010974681,0.737952490789446
410,2050,4273.57094737047,0.747840612406191
412,2060,4286.49494594302,0.736656426234192
414,2070,4299.31178236517,0.732240881268564
416,2080,4312.02113621669,0.739630355087355
418,2090,4324.62268976439,0.728345753536003
420,2100,4337.11612797008,0.732892024282857
422,2110,4349.50113849847,0.732252108197567
424,2120,4361.77741172493,0.731758688718539
426,2130,4373.94464074327,0.761929066123558
428,2140,4386.00252137341,0.758014931857485
430,2150,4397.95075216894,0.725804750031195
432,2160,4409.78903442474,0.736481631481785
434,2170,4421.51707218435,0.729140779039871
436,2180,4433.13457224744,0.756283365678678
438,2190,4444.64124417711,0.756707419518977
440,2200,4456.03680030718,0.737064775601857
442,2210,4467.32095574932,0.727005005477009
444,2220,4478.49342840024,0.733506724077398
446,2230,4489.5539389487,0.747592452561153
448,2240,4500.50221088253,0.741623309488713
450,2250,4511.33797049548,0.721864390382
452,2260,4522.06094689413,0.737853961900467
454,2270,4532.67087200463,0.74100766194668
456,2280,4543.16748057942,0.743943437215024
458,2290,4553.55051020381,0.72533060892606
460,2300,4563.81970130261,0.728205747044165
