Time,X_o,Y_o,Z
0.0,0.0,0.0,0.7998019047939459
2.0,17.235957833095206,20.686143895366087,0.7728031949105522
4.0,34.47172253177603,41.37169338412455,0.7881476648780098
6.0,51.707100966456416,62.05605407452788,0.8076930963203355
8.0,68.94190001720692,82.7386316045485,0.781920530545911
10.0,86.17592657858265,103.4188316567377,0.7806109625946683
12.0,103.40898756445088,124.09605997308364,0.7749821987050776
14.0,120.6408899128183,144.7697223698677,0.7901537698506653
16.0,137.87144059065736,165.43922475251907,0.7878137294500016
18.0,155.10044659873233,186.10397313046704,0.7885762838302305
20.0,172.3277149764241,206.76337363199087,0.7838577958590808
22.0,189.55305280655415,227.4168325190663,0.7835138921093255
24.0,206.77626722020761,248.06375620220928,0.7945394816435181
26.0,223.99716540155498,268.70355125531535,0.7675882496328956
28.0,241.21555459267233,289.3356244304957,0.7940335068693417
30.0,258.43124209836037,309.9593826729077,0.7829532085635676
32.0,275.64403529096194,330.57423313558195,0.786714838123385
34.0,292.8537416151774,351.1795831942427,0.7969385683455094
36.0,310.06016859287865,371.7748404621242,0.7689937501237456
38.0,327.2631238279213,392.3594128047798,0.7853185341441664
40.0,344.46241501095403,412.9327083548854,0.7998666551572517
42.0,361.6578499242269,433.49413552703595,0.7597717803827501
44.0,378.8492364463964,454.04310303253567,0.7943549485362511
46.0,396.0363825573286,474.57901989417934,0.7995356389064541
48.0,413.2190963428995,495.10129546102723,0.7713250845840853
50.0,430.39718599979324,515.6093394231717,0.7942894098118966
52.0,447.5704598402968,536.1025618264941,0.7786566191662937
54.0,464.7387262970923,556.5803730874139,0.7797953432012228
56.0,481.90179392804635,577.0421840076286,0.7849857871813367
58.0,499.0594714209956,597.4874057888433,0.780488747382627
60.0,516.2115675985303,617.9154500474904,0.7907557500826223
62.0,533.357891422773,638.3257288294401,0.7857942795438249
64.0,550.4982520001549,658.7176546246982,0.7674856987547168
66.0,567.6324585861879,679.090640382094,0.7810935168719326
68.0,584.7603205902337,699.4440995239572,0.7740171474177905
70.0,601.8816475802678,719.7774459607817,0.7815770135172212
72.0,618.9962492876409,740.0900941058776,0.7895714998012097
74.0,636.1039356118357,760.381458890012,0.791193512127165
76.0,653.2045166252186,780.6509557760345,0.790785861572879
78.0,670.2978025777888,800.8980007734908,0.765804964224904
80.0,687.3836039019213,821.122010453223,0.7822125197362158
82.0,704.461731217107,841.3224019619547,0.7815116831694076
84.0,721.5319953346857,861.4985930368623,0.7790893486533009
86.0,738.5942072625777,881.650002020133,0.7971225001835599
88.0,755.648178210007,901.7760478735031,0.7937204113075478
90.0,772.6937195922219,921.8761501927875,0.7876220648549432
92.0,789.7306430352094,941.9497292223874,0.7950090719751023
94.0,806.7587603804045,961.9962058697848,0.7700402109141907
96.0,823.777883689394,982.0150017200197,0.7698657213055151
98.0,840.7878252486157,1002.0055390501514,0.7875716738348063
100.0,857.7883975740499,1021.9672408436998,0.778793785488544
102.0,874.7794134159078,1041.899530805072,0.7788634066774532
104.0,891.7606857633122,1061.8018333739697,0.7719282381677327
106.0,908.7320278489722,1081.6735737397773,0.7747404742773935
108.0,925.6932531538537,1101.5141778559337,0.7795117493445546
110.0,942.644175411841,1121.323072454281,0.7868832538938397
112.0,959.5846086143943,1141.0996850593983,0.792392593850582
114.0,976.5143670151997,1160.8434440029132,0.7798834888510193
116.0,993.4332651348122,1180.5537784377927,0.7762373079530902
118.0,1010.3411177652944,1200.2301183526147,0.778468578704916
120.0,1027.2377399748443,1219.8718945858186,0.7732093908681402
122.0,1044.122947112421,1239.4785388399341,0.7898565647152596
124.0,1060.9965548123587,1259.0494836957882,0.7694064947945279
126.0,1077.8583789989777,1278.5841626266915,0.7556759395807817
128.0,1094.7082358911853,1298.0820100125998,0.7846756318912249
130.0,1111.5459420070706,1317.542461154257,0.7907109434516146
132.0,1128.3713141684912,1336.9649522873099,0.7734789759282703
134.0,1145.1841695056532,1356.3489205964045,0.7722511054643107
136.0,1161.9843254616824,1375.6938042292547,0.7797693099275618
138.0,1178.771599797189,1394.9990423106904,0.7811698213432124
140.0,1195.5458105948226,1414.2640749566765,0.7855009586746411
142.0,1212.3067762638202,1433.4883432883125,0.7853840593995147
144.0,1229.0543155445475,1452.6712894458044,0.7786486460357159
146.0,1245.788247513028,1471.8123566024094,0.7788890607614544
148.0,1262.5083915854677,1490.910988978358,0.7911790806601564
150.0,1279.2145675227698,1509.966631854748,0.7945259690667318
152.0,1295.9065954350392,1528.9787315874119,0.7905202275142246
154.0,1312.5842957860818,1547.946735620759,0.7716010569561651
156.0,1329.2474893978906,1566.870092501589,0.7681437078995426
158.0,1345.8959974551271,1585.7482518928775,0.7830014105012209
160.0,1362.5296415095909,1604.580664587536,0.7899008655598819
162.0,1379.1482434846803,1623.3667825221391,0.7819744941028404
164.0,1395.7516256798458,1642.1060587906309,0.7747148178740202
166.0,1412.3396107750305,1660.7979476579915,0.7789363169400185
168.0,1428.912021835105,1679.4419045738853,0.8034880287854598
170.0,1445.4686823142897,1698.0373861862745,0.7973901925893223
172.0,1462.0094160605681,1716.5838503549974,0.7647373907761197
174.0,1478.5340473200927,1735.0807561653294,0.7803987331159871
176.0,1495.0424007415754,1753.5275639415004,0.7577772554156854
178.0,1511.5343013806755,1771.9237352601897,0.7682647096964661
180.0,1528.0095747043683,1790.2687329639843,0.7615329969149535
182.0,1544.4680465953134,1808.5620211748092,0.7632927992109424
184.0,1560.909543356204,1826.8030653073254,0.7785734068472915
186.0,1577.3338917141118,1844.9913320822914,0.7881147031793901
188.0,1593.7409188248162,1863.1262895398966,0.7870139249948311
190.0,1610.1304522771284,1881.2074070530628,0.7914319334178147
192.0,1626.5023200971987,1899.234155340705,0.7777437582241737
194.0,1642.8563507528188,1917.2060064809684,0.7913454462824391
196.0,1659.1923731577072,1935.1224339244218,0.7620954283332984
198.0,1675.5102166757888,1952.9829125072256,0.7721585072425735
200.0,1691.8097111254592,1970.7869184642573,0.776469986832658
202.0,1708.0906867838396,1988.5339294422079,0.7699453102286249
204.0,1724.3529743910203,2006.2234245126388,0.7918630841548363
206.0,1740.596405154292,2023.8548841850086,0.7731959164383164
208.0,1756.820810752365,2041.4277904196545,0.7943092918949425
210.0,1773.0260233395788,2058.941626640749,0.7827338923819612
212.0,1789.2118755500956,2076.3958777492107,0.7659423885472928
214.0,1805.3782005020876,2093.790030135584,0.785121437306538
216.0,1821.5248318019062,2111.123571692877,0.7773448092826983
218.0,1837.651603548244,2128.3959918293654,0.7661196893206773
220.0,1853.7583503362807,2145.6067814813587,0.7755584199138228
222.0,1869.8449072618193,2162.7554331259234,0.7771859102920593
