INPUT_FILE,DIMENSIONS,SEED,PARAM_SET,SAMPLING_TIME,FITNESS,SOLUTION,ELAPSED_TIME
../../data/output_polynomial.csv,8,5,0,2,0.549173,"34459.63859151927 34123.16565723282 7.880249418085143 8.741173169330443 0.0006733403503299366 -0.008127209942929235 5.863989312511247e-06 -3.519288379694288e-06",156.00
../../data/output_polynomial.csv,8,6,0,2,0.648408,"31623.623589678944 31182.143969158442 7.028783803434111 9.245882761153165 0.0033846083035911686 0.0028525097330792427 1.265466609034158e-05 -1.3650839079067085e-05",162.99
../../data/output_polynomial.csv,8,7,0,2,1.671065,"28480.47244452193 27313.571422304027 7.893350164725341 8.988658575414272 0.00074612099305758 0.00699785043548456 1.9124511684637114e-05 -1.7066212432644882e-05",159.46
../../data/output_polynomial.csv,8,8,0,2,1.339292,"34792.60311606978 31876.202906211547 8.18135790210683 7.286186020859187 -0.004969322734898962 0.007056838799643949 2.155765743110017e-05 -1.714588951897867e-05",153.12
../../data/output_polynomial.csv,8,9,0,2,1.578299,"26451.79185832575 24776.777135732475 7.01823924391051 8.271076342764534 -0.00038537140858751 0.009885753063484276 2.436187532722568e-05 -1.7501864320390955e-05",164.86
../../data/output_polynomial.csv,8,10,0,2,0.754522,"27315.18898434318 28756.161951482318 9.139576606006905 8.928010587659209 0.009570642015834527 0.006785196163704656 3.0027224642766454e-06 -1.638481826334796e-05",160.81
../../data/output_uniformly_accelerated.csv,4,1,0,2,0.333700,"38316.91372232471 35988.46855781879 5.7640639315197095 9.508514834125723",109.17
../../data/output_uniformly_accelerated.csv,4,2,0,2,0.331157,"39881.89228601658 36999.001904728284 5.4543998929344495 9.62572210201079",111.40
../../data/output_uniformly_accelerated.csv,4,3,0,2,0.335092,"39852.478700830296 37246.5544304862 5.739898205253758 9.913002557887811",110.49
../../data/output_uniformly_accelerated.csv,4,4,0,2,0.328459,"39975.30778845762 37225.15035834562 5.076104668150288 9.135459405209579",107.96
../../data/output_uniformly_accelerated.csv,4,5,0,2,0.314049,"38886.451821440045 36434.529177919496 5.355182963186623 9.008755142259295",108.64
../../data/output_uniformly_accelerated.csv,4,6,0,2,0.319929,"39911.896493799984 37622.81782349755 5.386074508681652 9.092579778759557",113.25
../../data/output_uniformly_accelerated.csv,4,7,0,2,0.334071,"39935.88870513909 37246.27647503375 5.807158823971354 9.955877435473354",107.31
